"2180 - Provisions for liabilities","2180 - Avsetninger for forpliktelser",""
"2185 - Provisions for removal and closure obligations","2185 - Avsetninger for fjerning- og nedstengningsforpliktelser",""
"2200 - Convertible loans","2200 - Konvertible lån",""
"2210 - Bond loans","2210 - Obligasjonslån",""
"2220 - Long-term debt to banks and other credit institutions","2220 - Langsiktig gjeld til banker og andre kredittinstitusjoner",""
"2250 - Debt to employees and personal owners","2250 - Gjeld til ansatte og personlige eiere",""
"2260 - Debt to companies in the same group","2260 - Gjeld til selskap i samme konsern",""
"2280 - Contributions by silent partners and subordinated loan capital","2280 - Stille interessentinnskudd og ansvarlig lånekapital",""
"2290 - Other long-term debt","2290 - Annen langsiktig gjeld",""
"2310 - Convertible loans","2310 - Konvertible lån",""
"2320 - Bond loans","2320 - Obligasjonslån",""
"2330 - Derivatives","2330 - Derivater",""
"2380 - Short-term debt to banks and other credit institutions","2380 - Kortsiktig gjeld til banker og andre kredittinstitusjoner",""
"2400 - Debt to suppliers","2400 - Gjeld til leverandører",""
"2460 - Debts to suppliers that are companies in the same group","2460 - Leverandørgjeld til selskap i samme konsern",""
"2470 - Additional withdrawal of petroleum products","2470 - Meruttak av petroleumsprodukter",""
"2500 - Payable tax, not assessed","2500 - Betalbar skatt, ikke fastsatt",""
"2510 - Payable tax, assessed","2510 - Betalbar skatt, fastsatt",""
"2600 - Deducted tax and other deductions","2600 - Skattetrekk og andre trekk",""
"2740 - Unpaid value added tax","2740 - Skyldig merverdiavgift",""
"2770 - Unpaid employers national insurance contributions","2770 - Skyldig arbeidsgiveravgift",""
"2790 - Other public taxes and duties","2790 - Andre offentlige avgifter",""
"2800 - Provisions for dividend","2800 - Avsatt utbytte",""
"2900 - Advances from customers","2900 - Forskudd fra kunder",""
"2910 - Debt to employees and personal owners","2910 - Gjeld til ansatte og personlige eiere",""
"2920 - Debt to companies in the same group","2920 - Gjeld til selskap i samme konsern",""
"2949 - Unpaid salary and holiday pay, etc.","2949 - Skyldig lønn og feriepenger med mer",""
"2950 - Unpaid interest on debt","2950 - Skyldige gjeldsrenter",""
"2970 - Unearned income","2970 - Uopptjent inntekt",""
"2980 - Provisions for liabilities","2980 - Avsetninger for forpliktelser",""
"2981 - Transferred retroactive payment for payment","2981 - Avsatt etterbetaling til utbetaling",""
"2990 - Other short-term debt","2990 - Annen kortsiktig gjeld",""
"2000 - Share capital/Equity other enterprises","2000 - Aksjekapital/Egenkapital andre foretak",""
"2010 - Own shares","2010 - Egne aksjer",""
"2015 - Jointly owned share capital","2015 - Felleseid andelskapital",""
"2020 - Premium","2020 - Overkurs",""
"2030 - Other contributed equity","2030 - Annen innskutt egenkapital",""
"2041 - Retroactive payments reserve","2041 - Etterbetalingsfond",""
"2042 - Member's capital accounts","2042 - Medlemskapitalkonti",""
"2043 - Fund for valuation differences","2043 - Fond for vurderingsforskjeller",""
"2045 - Fund for unrealised gains","2045 - Fond for urealiserte gevinster",""
"2050 - Positive equity","2050 - Positiv egenkapital",""
"2055 - Provisions for dividend – IFRS","2055 - Avsatt utbytte - IFRS",""
"2080 - Negative equity","2080 - Negativ egenkapital",""
"2095 - Negative balance","2095 - Negativ saldo",""
"2096 - Positive profit and loss account","2096 - Positiv gevinst og tapskonto",""
"2097 - Provisions for conditional gain","2097 - Betinget avsatt gevinst",""
"2098 - Positive timber account","2098 - Positiv tømmerkonto",""
"2099 - Positive agriculture account","2099 - Positiv jordbrukskonto",""
"9.21.11 - Company capital – Share capital/equity capital","9.21.11 - Selskapskapital - Aksjekapital/eierandelskapital",""
"9.21.12 - Company capital – Own shares and equity certificates","9.21.12 - Selskapskapital - Egne aksjer og egenkapitalbevis",""
"9.21.30 - Company capital – premium","9.21.30 - Selskapskapital - overkurs",""
"9.21.40 - Company capital – equalisation reserves","9.21.40 - Selskapskapital - utjevningsfond",""
"9.23.00 - Primary capital","9.23.00 - Grunnfondskapital",""
"9.23.20 - Savings bank funds/associations reserves","9.23.20 - Sparebankens/foreningens fond",""
"9.23.30 - Compensation fund","9.23.30 - Kompensasjonsfond",""
"9.23.40 - Donations fund","9.23.40 - Gavefond",""
"9.25.00 - Fund bond capital","9.25.00 - Fondsobligasjonskapital, netto",""
"9.26.00 - Other contributed equity","9.26.00 - Annen innskutt egenkapital",""
"9.28.31 - Other equity – Fund for unrealised gains","9.28.31 - Annen egenkapital - Fond for urealiserte gevinster",""
"9.28.33 - Other equity – Fund for valuation differences","9.28.33 - Annen egenkapital - Fond for vurderingsforskjeller",""
"9.28.60 - Other equity – Risk equalisation reserve","9.28.60 - Annen egenkapital - Risikoutjevningsfond",""
"9.28.76 - Other equity – Provisions for natural damage capital","9.28.76 - Annen egenkapital - Avsetning til naturskadekapital",""
"9.28.77 - Other equity – Provisions for the non-life Insurance Guarantee Scheme","9.28.77 - Annen egenkapital - Avsetning til garantiordningen",""
"9.28.90 - Other equity – Other","9.28.90 - Annen egenkapital - Øvrig",""
"9.28.99 - Other equity - Non-disposed result (net) – quarter only","9.28.99 - Annen egenkapital - Ikke disponert resultat (netto) - kun kvartal",""
"3000 - Sales and withdrawals subject to VAT","3000 - Salg og uttak med mva-plikt",""
"3001 - Sales revenue and withdrawals of oil","3001 - Salgsinntekter og uttak av olje",""
"3002 - Sales revenue and withdrawals of dry gas","3002 - Salgsinntekter og uttak av tørrgass",""
"3003 - Sales revenue and withdrawals of wet gas","3003 - Salgsinntekter og uttak av våtgass",""
"3004 - Tariff revenue pipeline","3004 - Tariffinntekt rørledning",""
"3005 - Tariff revenue processing","3005 - Tariffinntekt prosessering",""
"3006 - Re-invoicing of hours","3006 - Timer viderefakturert",""
"3007 - Re-invoicing of other costs","3007 - Annen kostnad viderefakturert",""
"3008 - Change in more/less withdrawal of petroleum products","3008 - Endring i mer-/mindreuttak av petroleumsprodukter",""
"3100 - Sales and withdrawals with zero rate VAT","3100 - Salg og uttak med 0 prosent mva.",""
"3200 - Sales and withdrawals outside the scope of the VAT Act","3200 - Salg og uttak utenfor mva-loven",""
"3300 - Excise duties on sales","3300 - Offentlige særavgifter ved salg",""
"3400 - Government subsidies and reimbursements","3400 - Offentlige tilskudd og refusjoner",""
"3500 - Change in unearned income","3500 - Endring uopptjent inntekt",""
"3600 - Income from renting out property","3600 - Inntekt fra utleie av eiendom",""
"3650 - Renting out hunting and fishing rights, etc.","3650 - Utleie av rettigheter til jakt og fiske med mer",""
"3695 - Other rental income","3695 - Andre leieinntekter",""
"3700 - Commission","3700 - Provisjon",""
"3710 - Licence, patent and royalty income","3710 - Lisens-, patent- og royalty-inntekter",""
"3850 - Changes in value of investment properties according to IFRS","3850 - Verdiendringer av investeringseiendommer etter IFRS",""
"3870 - Changes in value of biological assets according to IFRS","3870 - Verdiendringer biologiske eiendeler etter IFRS",""
"3880 - Gain from disposal of intangible assets and fixed tangible assets","3880 - Gevinst ved avgang av immaterielle eiendeler og varige driftsmidler",""
"3885 - Gain from disposal of financial fixed assets","3885 - Gevinst ved avgang av finansielle anleggsmidler",""
"3886 - Gain on the transfer of licences for petroleum activities","3886 - Gevinst ved overdragelse av tillatelse til petroleumsvirksomhet",""
"3890 - Income from profit and loss account","3890 - Inntekt fra gevinst-/tapskonto",""
"3895 - Income from a balance","3895 - Inntekt fra saldo",""
"3900 - Other operating revenues","3900 - Andre driftsinntekter",""
"3910 - Income from a timber account","3910 - Inntekt fra tømmerkonto",""
"3911 - Income from a agriculture account","3911 - Inntekt fra jordbrukskonto",""
"4001 - Exploration costs","4001 - Letekostnader",""
"4002 - Development costs","4002 - Utbyggingskostnader",""
"4003 - Production costs","4003 - Produksjonskostnader",""
"4004 - Handling fee / Service fee / Trading fee","4004 - Handling fee / Service fee / Trading fee",""
"4005 - Cost of goods including change in stock","4005 - Varekostnader inklusiv endring i beholdningen",""
"4007 - Change in more/less withdrawal of petroleum products","4007 - Endring i mer-/mindreuttak av petroleumsprodukter",""
"4008 - Removal and shutdown costs","4008 - Fjernings- og nedstengningskostnader",""
"4295 - The change in stock of complete and incomplete self-manufactured goods","4295 - Endring i beholdningen av ferdige og uferdige egenproduserte varerr",""
"4500 - Hired labour","4500 - Innleid arbeidskraft",""
"4995 - Change in stock of self-manufactured fixed assets","4995 - Beholdningsendring av egentilvirkede anleggsmidler",""
"5000 - Salary and holiday pay, etc.","5000 - Lønn og feriepenger med mer",""
"5300 - Other remunerations carrying a reporting obligation","5300 - Andre opplysningspliktige godtgjørelser",""
"5400 - Employer’s national insurance contributions","5400 - Arbeidsgiveravgift",""
"5420 - Pension costs subject to a reporting obligation","5420 - Opplysningspliktige pensjonskostnader",""
"5600 - Remuneration for work performed by owners in a partnership (ANS etc.)","5600 - Arbeidsgodtgjørelse til eiere i ANS mv.",""
"5900 - Other personnel costs","5900 - Andre personalkostnader",""
"5950 - Own pension scheme","5950 - Egen pensjonsordning",""
"6000 - Depreciation of fixed assets","6000 - Avskrivning på varige driftsmidler",""
"6001 - Depreciation of production installations and pipelines","6001 - Avskrivning på produksjonsinnretning  og rørledning",""
"6002 - Depreciation of removal and shut-down assets","6002 - Avskrivning på fjernings- og nedstengningseiendeler",""
"6004 - Other depreciation","6004 - Annen avskrivning",""
"6050 - Write-downs of tangible fixed assets and intangible assets","6050 - Nedskrivning på varige driftsmidler og immaterielle eiendeler",""
"6051 - Write-downs of production equipment and pipeline","6051 - Nedskrivning på produksjonsinnretning og rørledning",""
"6052 - Write-downs of captalized exploration costs","6052 - Nedskrivning på aktiverte letekostnader",""
"6053 - Write-downs of plant under construction","6053 - Nedskrivning på anlegg under utførelse",""
"6054 - Other write-downs","6054 - Annen nedskrivning",""
"6100 - Shipping and transport costs related to sales","6100 - Frakt- og transportkostnader ved salg",""
"6110 - Shipping and transport costs related to oil","6110 - Frakt- og transportkostnad vedrørende salg av olje",""
"6120 - Shipping and transport costs related to dry gas","6120 - Frakt- og transportkostnad vedrørende salg av tørrgass",""
"6130 - Shipping and transport costs related to LNG","6130 - Frakt- og transportkostnad vedrørende salg av LNG",""
"6140 - Shipping and transport costs related to wet gas","6140 - Frakt- og transportkostnad vedrørende salg av våtgass",""
"6200 - Power and fuel, etc. for manufacture","6200 - Energi og brensel med mer til produksjon",""
"6300 - Rental of premises","6300 - Leie av lokaler",""
"6340 - Electricity and heating","6340 - Strøm og oppvarming",""
"6350 - IT costs","6350 - IT kostnader",""
"6395 - Refuse collection, water, sewage, cleaning, etc.","6395 - Renovasjon, vann, avløp, renhold med mer",""
"6400 - Rental of machines, fixtures and fittings, etc.","6400 - Leie av maskiner, inventar og utstyr med mer",""
"6440 - Long-term rental/leasing of vehicle","6440 - Langtidsleie/leasing av bil",""
"6500 - Tools, fixtures and fittings etc. for direct expense deduction","6500 - Verktøy, inventar med mer som skal kostnadsføres direkte",""
"6600 - Building repairs and maintenance","6600 - Reparasjoner og vedlikehold av bygninger",""
"6695 - Repairs and maintenance of equipment, etc.","6695 - Reparasjoner og vedlikehold av utstyr med mer",""
"6700 - Accountancy and consultancy services, etc.","6700 - Regnskapstjenester, rådgivning med mer",""
"6750 - Group company services","6750 - Konserntjenester",""
"6751 - Cost reduction hours re-invoiced","6751 - Kostnadsreduksjon timer viderefakturert",""
"6752 - Cost reduction other costs re-invoiced","6752 - Kostnadsreduksjon annen kostnad viderefakturert",""
"6995 - Office equipment, electronic communication, postage, etc.","6995 - Kontorrekvisita, elektronisk kommunikasjon, porto med mer",""
"6998 - Private use of electronic communication","6998 - Privat bruk av elektronisk kommunikasjon",""
"7000 - Fuel","7000 - Drivstoff",""
"7020 - Maintenance","7020 - Vedlikehold",""
"7040 - Insurance and taxes","7040 - Forsikring og avgifter",""
"7080 - Deductions for the use of a private vehicle in the business activity","7080 - Fradrag for bruk av privat bil i næringsvirksomheten",""
"7099 - Private use of a commercial vehicle","7099 - Privat bruk av næringsbil",""
"7155 - Travel, subsistence and car allowances carrying a reporting obligation","7155 - Reise-, diett- og bilgodtgjørelser, med opplysningsplikt",""
"7165 - Travel and subsistence expenses, not subject to a reporting obligation","7165 - Reise- og diettkostnader, uten opplysningsplikt",""
"7295 - Commission costs","7295 - Provisjonskostnader",""
"7330 - Marketing costs","7330 - Salgs- og reklamekostnader",""
"7350 - Deductible business entertainment costs","7350 - Representasjonskostnader med fradragsrett",""
"7370 - Business entertainment costs","7370 - Representasjonskostnader",""
"7400 - Deductible membership fees","7400 - Kontingenter med fradragsrett",""
"7420 - Deductible costs for gifts","7420 - Gaver med fradragsrett",""
"7440 - Gifts","7440 - Gaver",""
"7490 - Membership fees","7490 - Kontingenter",""
"7500 - Insurance premiums","7500 - Forsikringspremier",""
"7501 - Operational insurance","7501 - Driftsforsikring",""
"7502 - Development insurance","7502 - Utbyggingsforsikring",""
"7503 - Other insurance","7503 - Annen forsikring",""
"7565 - Warranty and servicing costs","7565 - Garanti- og servicekostnader",""
"7600 - License, patent and royalties","7600 - Lisenser, patenter og royalties",""
"7650 - Research and development cost","7650 - Forskning og utviklingskostnad",""
"7651 - Grants for scientific research, etc. cf. Tax Act § 6-42","7651 - Tilskudd til vitenskapelig forskning mv jf sktl § 6-42",""
"7700 - Other costs","7700 - Andre kostnader",""
"7701 - CO2 tax","7701 - Co2-avgift",""
"7830 - Losses on receivables","7830 - Tap på fordringer",""
"7860 - Losses on contracts","7860 - Tap på kontrakter",""
"7880 - Losses on the disposal of intangible assets and fixed tangible assets","7880 - Tap ved avgang av immaterielle eiendeler og varige driftsmidler",""
"7885 - Losses on the disposal of financial fixed assets","7885 - Tap ved avgang av finansielle anleggsmidler",""
"7886 - Loss on the transfer of licenses for petroleum activities","7886 - Tap ved overdragelse av tillatelse til petroleumsvirksomhet",""
"7890 - Deductions from profit and loss accounts","7890 - Fradrag fra gevinst- og tapskonto",""
"7897 - Change in tax losses on receivables","7897 - Endring i skattemessig tap på fordringer",""
"7910 - Transferred to timber account from this year’s profit and loss","7910 - Overført til tømmerkonto av årets overskudd/underskudd",""
"7911 - Expense recognition timber account","7911 - Kostnadsføring tømmerkonto",""
"7912 - Transferred to agriculture account from this year´s profit and loss","7912 - Overført til jordbrukskonto av årets overskudd/underskudd",""
"7913 - Expense recognition agriculture account","7913 - Kostnadsføring fra jordbrukskonto",""
"8005 - Net positive share in profits regarding investments in subsidiaries, associated companies and jointly controlled enterprises","8005 - Netto positiv resultatandel vedrørende investering i DS, TS og FKV",""
"8030 - Interest income from enterprises in the same group","8030 - Renteinntekt fra foretak i samme konsern",""
"8050 - Other interest income","8050 - Annen renteinntekt",""
"8054 - Guarantee income from enterprises in the same group","8054 - Garantiinntekter fra foretak i samme konsern",""
"8059 - Guarantee income","8059 - Garantiinntekt",""
"8060 - Gains on fluctuations of currency exchange rates","8060 - Gevinst ved kursendring på valuta",""
"8074 - Profits made on the sale of shares, equity certificates and units in funds","8074 - Gevinst ved realisasjon av aksjer, egenkapitalbevis og fondsandeler",""
"8075 - Financial income from enterprises in the same group","8075 - Finansinntekt fra foretak i samme konsern",""
"8079 - Other financial income","8079 - Andre finansinntekter",""
"8080 - Increase in value of financial instruments carried at fair value","8080 - Verdiøkning av finansielle instrumenter vurdert til virkelig verdi",""
"8090 - Income from other investments/dividends","8090 - Inntekt av andre investeringer/utbytte",""
"8091 - 3% of net tax-free income in accordance with the exemption method and 3% of dividends to a partner from businesses assessed as partnerships","8091 - 3 % av netto skattefrie inntekter etter fritaksmetoden og 3 % av utdeling fra selskap med deltakerfastsetting til selskapsdeltaker",""
"8100 - Reduction in value of financial instruments carried at fair value","8100 - Verdireduksjon av finansielle instrumenter vurdert til virkelig verdi",""
"8105 - Net negative share in profits regarding investments in subsidiaries, associated companies and jointly controlled enterprises","8105 - Netto negativ resultatandel vedrørende investering i DS, TS og FKV",""
"8115 - Write-down of financial assets","8115 - Nedskriving av finansielle eiendeler",""
"8120 - Calculated interest, removal and shutdown obligation","8120 - Kalkulatorisk rente fjernings- og nedstengningsforpliktelse",""
"8130 - Interest paid to group companies","8130 - Rentekostnad til foretak i samme konsern",""
"8150 - Other interest expenses","8150 - Annen rentekostnad",""
"8154 - Guarantee costs for companies in the same group","8154 - Garantikostnad til foretak i samme konsern",""
"8159 - Other guarantee costs","8159 - Annen garantikostnad",""
"8160 - Losses from currency fluctuations","8160 - Tap ved kursendring på valuta",""
"8174 - Losses on the sale of shares, equity certificates and units in funds","8174 - Tap ved realisasjon av aksjer, egenkapitalbevis og fondsandeler",""
"8175 - Financial expenses for companies in the same group","8175 - Finanskostnader til foretak i samme konsern",""
"8179 - Other financial costs","8179 - Andre finanskostnader",""
"8300 - Tax payable on the profit/loss on ordinary activities","8300 - Betalbar skatt på ordinært resultat",""
"8321 - Increase in deferred tax/decrease in deferred tax asset on the profit/loss on ordinary activities","8321 - Økning i utsatt skatt/nedgang i utsatt skattefordel på ordinært resultat",""
"8322 - Decrease in deferred tax/increase in deferred tax asset on the profit/loss on ordinary activities","8322 - Nedgang i utsatt skatt/økning i utsatt skattefordel på ordinært resultat",""
"8323 - Under-allocated tax from last year","8323 - For lite avsatt skatt fra forrige år",""
"8324 - Over-allocated tax from last year","8324 - For mye avsatt skatt fra forrige år",""
"7.80.0.10 - Current tax","7.80.0.10 - Periodeskatt",""
"7.80.0.10.00 - Current tax","7.80.0.10.00 - Periodeskatt",""
"7.80.7.89 - Under-/over allocated tax from previous years/Changed tax liability when tax is deferred","7.80.7.89 - For lite/mye avsatt skatt tidligere år / Endring i forpliktelse ved utsatt skatt",""
"7.80.7.89.00 - Changed tax liability when tax is deferred","7.80.7.89.00 - Endring i forpliktelse ved utsatt skatt",""
"8.91.7.89.00 - Tax on income/expense that is not reclassified","8.91.7.89.00 - Skatt på inntekt/kostnad som ikke blir omklassifisert",""
"8.91.7.89 - Tax on other income and expenses that are not reclassified","8.91.7.89 - Skatt på andre inntekter og kostnader som ikke blir omklassifisert",""
"8.92.7.89.00 - Tax on income/expense that may be reclassified","8.92.7.89.00 - Skatt på inntekt/kostnad som kan bli omklassifisert",""
"8.92.7.89 - Tax on other income and expenses that may be reclassified","8.92.7.89 - Skatt på andre inntekter og kostnader som kan bli omklassifisert",""
"8800 - Appropriation of profit/allocation of loss","8800 - Disponering av årets overskudd/dekning av årets underskudd",""
"8901.1 - Change in revaluation surplus","8901.1 - Endring i verdireguleringsreserve",""
"8901.2 - Actuarial profit and loss on benefit schemes","8901.2 - Aktuariell gevinst og tap på ytelsesplaner",""
"8901.3 - Other income and expenses from associated enterprises","8901.3 - Andre inntekter og kostnader knyttet til foretak",""
"8901.4 - Net profit and loss on equity instruments","8901.4 - Netto gevinst og tap på egenkapitalinstrumenter",""
"8901.5 - Change in fair value due to own credit risk","8901.5 - Endring i virkelig verdi som skyldes egen kredittrisiko",""
"8909.1 - Tax related to items that will not be reclassified","8909.1 - Skatt relatert til poster som ikke skal reklassifiseres",""
